id,percentScore
009_re_cyborg,45.0
0814255,51.95945945945946
0878835,72.96875
1-day,52.72727272727273
10,100.0
1000013_12_angry_men,98.0
10000390-mickey,50.0
10000604-porgy_and_bess,100.0
10000735-underworld,78.75
1000079-20000_leagues_under_the_sea,70.0
10000966-siberia,80.0
10000_bc,35.22435897435898
10000_km,75.0
10001054-gabriel_and_me,40.0
10001205-climb,30.0
1000121-39_steps,100.0
1000123-310_to_yuma,78.33333333333333
10001491-peaches,40.0
10001519-public_enemy,60.0
10001956-tattoo,67.85714285714286
10002009-road,50.0
1000204-abraham_lincoln,60.0
10002076-black_and_white,40.0
10002103-samsara,67.5
10002114-dark_water,80.0
10002128-lola,80.0
1000218-accident,77.22222222222223
1000224-accused,75.0
1000239-act_of_vengeance,25.0
10002399-one_and_only,20.0
10002457-ping_pong,67.5
10002516-lost_city,45.104166666666664
10002545-sandstorm,65.0
10002625-hero,56.666666666666664
10002635-bridge_of_san_luis_rey,27.857142857142858
10002673-prowler,60.0
10002759-crisis,40.0
10002848-at_five_in_the_afternoon,67.5
10002885-uncut,30.0
10003000-chalte_chalte,50.0
10003196-10003196-small_voices,66.25
10003276-criminal,65.96153846153847
10003284-the_zodiac,30.0
10003437-deep_blue,65.0
1000355-adventures_of_robin_hood,100.0
10003600-dog_eat_dog,40.0
10003645-twin_sisters,63.75
10003660-americano,70.0
10003925-dead_end,60.0
10004050-bandwagon,60.0
10004069-whore,28.333333333333332
10004147-last_place_on_earth,37.5
10004275-army_of_one,58.333333333333336
10004288-running_scared,46.160714285714285
10004352-going_the_distance,10.0
10004504-ultraviolet,20.78125
10004613-final_cut,75.0
10004617-letter,68.0
10004635-home_of_the_brave,76.66666666666667
10004659-arthur,41.94444444444444
10004684-malevolence,38.125
10004689-staircase,25.0
10004697-eternal,29.375
10004734-casshern,62.5
10004812-red_dust,75.0
10004835-farewell_to_arms,38.75
10004894-nightmare,50.0
10004925-matador,62.1875
10005017-death_of_a_salesman,80.0
10005057-smile,51.875
10005061-home,72.5
10005104-intruder,81.38888888888889
10005178-saint_ralph,57.13157894736842
10005180-matando_cabos,56.875
10005206-cool!,50.0
10005225-a_tout_de_suite,70.625
10005227-finding_home,53.75
10005320-drive,75.0
10005402-chaos,6.25
10005403-the_baxter,48.47222222222222
10005409-dirty_deeds,25.833333333333332
10005499-oliver_twist,65.6896551724138
10005538-room,61.0
1000560-alamo,50.0
10005788-the_sun,85.5
1000580-alexander_the_great,37.5
10005802-sisters,71.04166666666666
1000581-alfie,70.0
10005870-backstage,67.91666666666667
10006007-the_second_chance,57.0
10006057-moonlight,66.875
10006109-magician,59.375
10006110-dont_tell,23.75
1000617-aliens,82.14285714285714
10006185-at_last,45.0
10006188-rise,62.5
1000626-all_about_eve,95.55555555555556
10006270,48.92857142857143
10006281-nana,71.66666666666667
10006321,30.0
10006322-one_the_movie,56.25
10006324,42.083333333333336
10006343-dirty,41.666666666666664
10006366-allegro,51.3095238095238
10006370-stay_alive,23.214285714285715
1000639-all_night_long,50.0
1000640-all_of_me,83.75
10006411-play,60.0
10006470,46.666666666666664
10006485-black_gold,67.1875
10006490,72.25
10006491,77.5
1000654-all_the_kings_men,82.5
10006569-love,72.5
10006588-street_fight,80.0
10006621-10006621-puzzlehead,72.5
10006630-life_of_reilly,74.03846153846153
10006634-rank,68.33333333333333
