id,score,date
009_re_cyborg,45.0,2013-06-07
0814255,51.96,2010-02-16
0878835,72.97,2011-11-17
1-day,52.73,2009-11-06
10,100.0,2004-10-23
1000013_12_angry_men,98.0,2013-07-03
10000390-mickey,50.0,2005-04-09
10000604-porgy_and_bess,100.0,2022-01-20
10000735-underworld,78.75,2007-09-18
1000079-20000_leagues_under_the_sea,70.0,2006-03-25
10000966-siberia,80.0,2001-11-13
10000_bc,35.22,2011-11-17
10000_km,75.0,2015-07-10
10001054-gabriel_and_me,40.0,2001-12-13
10001205-climb,30.0,2003-03-10
1000121-39_steps,100.0,2014-12-30
1000123-310_to_yuma,78.33,2011-05-10
10001491-peaches,40.0,2002-05-17
10001519-public_enemy,60.0,2003-06-24
10001956-tattoo,67.86,2003-11-25
10002009-road,50.0,2019-01-03
1000204-abraham_lincoln,60.0,2013-08-19
10002076-black_and_white,40.0,2002-10-24
10002103-samsara,67.5,2004-08-13
10002114-dark_water,80.0,2003-05-20
10002128-lola,80.0,2004-01-06
1000218-accident,77.22,2018-07-03
1000224-accused,75.0,2000-01-01
1000239-act_of_vengeance,25.0,2018-07-06
10002399-one_and_only,20.0,2003-02-20
10002457-ping_pong,67.5,2007-05-25
10002516-lost_city,45.1,2008-12-05
10002545-sandstorm,65.0,2003-11-13
10002625-hero,56.67,2003-05-01
10002635-bridge_of_san_luis_rey,27.86,2005-07-29
10002673-prowler,60.0,2011-11-17
10002759-crisis,40.0,2006-03-25
10002848-at_five_in_the_afternoon,67.5,2004-04-20
10002885-uncut,30.0,2003-05-28
10003000-chalte_chalte,50.0,2019-01-03
10003196-10003196-small_voices,66.25,2004-03-05
10003276-criminal,65.96,2010-12-22
10003284-the_zodiac,30.0,2006-03-17
10003437-deep_blue,65.0,2005-07-22
1000355-adventures_of_robin_hood,100.0,2003-10-01
10003600-dog_eat_dog,40.0,2004-01-20
10003645-twin_sisters,63.75,2005-05-10
10003660-americano,70.0,2006-03-28
10003925-dead_end,60.0,2004-04-09
10004050-bandwagon,60.0,2004-04-24
10004069-whore,28.33,2004-12-17
10004147-last_place_on_earth,37.5,2005-03-31
10004275-army_of_one,58.33,2005-01-27
10004288-running_scared,46.16,2006-04-01
10004352-going_the_distance,10.0,2004-08-20
10004504-ultraviolet,20.78,2006-06-24
10004613-final_cut,75.0,2004-10-12
10004617-letter,68.0,2005-08-11
10004635-home_of_the_brave,76.67,2004-10-29
10004659-arthur,41.94,2007-02-03
10004684-malevolence,38.12,2005-03-24
10004689-staircase,25.0,2004-10-30
10004697-eternal,29.38,2005-09-02
10004734-casshern,62.5,2004-11-13
10004812-red_dust,75.0,2005-02-04
10004835-farewell_to_arms,38.75,2006-03-25
